command,action_z,object_delta_z_m,base_reward_sum,lift_progress_reward_sum,treatment_reward_sum,grasped_during_chunk
+z,1.0,0.04601641028036674,4.533995966582254,0.6510648527000422,5.185060819282296,True
zero_z,0.0,0.004950370677533122,4.067774365108987,0.5829056985011344,4.650680063610121,True
-z,-1.0,-0.02098329902597007,2.460105010887426,-0.34893514729995784,2.111169863587468,True
