model,episodes,mean_base_return,mean_progress_return,mean_total_return,progress_min,progress_max
control_best,100,88.53389483805586,0.0,88.53389483805586,0.0,0.0
treatment_best,100,77.62706868586368,0.0430230824659061,77.67009176832957,0.0,1.0
control_last,100,88.59906733740323,0.0,88.59906733740323,0.0,0.0
treatment_last,100,92.62326969739583,-0.0012745272500607175,92.62199517014577,-0.22365763874572023,0.09620491373964847
