arm_model,grasp_episodes,mean_z_action_given_grasp,median_z_action_given_grasp,mean_positive_z_fraction,mean_lift_delta_mm,p_lift_given_grasp
control_best,100,-0.8646836243774161,-0.88241322977999,0.003938882690578851,0.310052719170002,0.02
treatment_best,89,-0.8419355562546003,-0.8913009496786262,0.014420332923133217,0.6181402216957678,0.0449438202247191
control_last,95,-0.8864325718284877,-0.933148146008646,0.0034061504826077152,0.02303998205310564,0.0
treatment_last,100,-0.8216240497105052,-0.8260425085493599,0.0017265469061876245,0.29436609815483683,0.02
