step,episodes,success_rate,final_success_rate,mean_return,median_return,mean_return_per_step,mean_episode_length,grasp_rate,lift_rate,p_lift_given_grasp,median_object_lift_delta,mean_grasp_duration,mean_max_object_height,mean_object_lift_delta,mean_action_norm,mean_action_saturation_fraction
110000,20,0.0,0.0,35.76993800365049,33.192629457307845,0.1788496900182524,200.0,0.05,0.0,0.0,0.0,0.7,0.8309803682285546,5.849136466271609e-05,1.5690988985076548,0.004
120000,20,0.0,0.0,77.91295747805432,82.68234124644468,0.3895647873902716,200.0,0.65,0.0,0.0,0.0,106.4,0.8310735266567267,1.8740087682223017e-05,1.502885134920478,0.0
130000,20,0.0,0.0,75.33965531524494,77.02116945652321,0.3766982765762247,200.0,0.6,0.0,0.0,0.0,61.1,0.8310433159335261,0.00011212046767456463,1.470103634163737,0.0
140000,20,0.0,0.0,78.60097666538334,84.64761797446154,0.3930048833269167,200.0,0.9,0.0,0.0,0.0,106.9,0.8311606555059556,0.0,1.5704212325662374,0.0
150000,20,0.0,0.0,81.58591470139996,86.94508951474894,0.40792957350699977,200.0,0.8,0.0,0.0,0.0,101.65,0.8307978091179153,0.0,1.5411915012598034,0.0
160000,20,0.0,0.0,74.37777736457714,82.88626600444888,0.3718888868228857,200.0,0.75,0.0,0.0,0.0,84.35,0.8311026769961876,0.00015101510155019482,1.6167483055144547,0.0
170000,20,0.05,0.05,81.0007096082362,85.35102614538941,0.41901294203564265,193.05,0.9,0.05,0.05555555555555555,0.0,96.15,0.8312175579950347,0.0004225303718712603,1.6090112074305776,0.0
180000,20,0.05,0.05,78.30509907327288,82.47740280515836,0.40073839249242404,195.7,0.75,0.05,0.06666666666666667,0.0,87.1,0.8315497155639479,0.00047241364097276307,1.5844769861590966,0.0
190000,20,0.0,0.0,89.21054983096053,89.05630572448545,0.44605274915480264,200.0,0.95,0.0,0.0,0.0,124.1,0.8311233519284329,0.0,1.566168399333954,0.0
200000,20,0.0,0.0,87.49471293057142,90.28944995659414,0.43747356465285714,200.0,0.9,0.0,0.0,0.0,117.5,0.8312495279453126,0.0001759219539664403,1.5310734708160163,0.0
210000,20,0.0,0.0,82.81194098969895,86.00021619048397,0.4140597049484948,200.0,0.9,0.0,0.0,0.0,128.4,0.8309921025869658,0.0,1.5476330742090938,0.0
220000,20,0.0,0.0,93.05526538508778,93.46790344297071,0.4652763269254387,200.0,1.0,0.0,0.0,0.0,161.4,0.8312130494079575,0.0002177777473585496,1.5744144919812681,0.0
230000,20,0.05,0.05,84.70446941332202,90.81913903659282,0.431778774650953,195.25,1.0,0.05,0.05,0.0,144.55,0.8316347246852756,0.0005639269898555343,1.5478535197433971,0.0
240000,20,0.05,0.05,87.73209119095887,90.80224733760156,0.44663147868740294,195.25,1.0,0.05,0.05,0.0,145.65,0.8317940955479692,0.0005559143292361735,1.5117429154855861,0.0
250000,20,0.0,0.0,87.22476330521438,92.0166415225989,0.4361238165260719,200.0,1.0,0.0,0.0,0.0,140.6,0.8309272009279592,0.0001338141108453539,1.5345296374708413,0.0
260000,20,0.0,0.0,90.58199586875597,91.5509649089411,0.45290997934377986,200.0,1.0,0.0,0.0,0.0,151.75,0.8311916583783197,0.0,1.5238074751347304,0.0
270000,20,0.0,0.0,89.56624458253057,92.5630690699775,0.4478312229126528,200.0,1.0,0.0,0.0,0.0,150.05,0.8310188403546152,2.347143712667088e-05,1.5623091891855003,0.0
280000,20,0.0,0.0,90.13668770844666,91.52065713086078,0.45068343854223325,200.0,1.0,0.0,0.0,0.0,155.5,0.8309842706477213,1.5132794905398095e-05,1.5568448608219625,0.0
290000,20,0.0,0.0,91.24329209957641,93.56125595103535,0.4562164604978821,200.0,1.0,0.0,0.0,0.0,164.4,0.8308581697012449,3.889365182835336e-05,1.5168583942502736,0.0
300000,20,0.0,0.0,89.03194300002926,91.3091332805075,0.4451597150001462,200.0,1.0,0.0,0.0,0.0,149.95,0.8310768394330234,6.906753452448066e-05,1.6207779601514338,0.0
