arm,step,transitions,lifted_state_fraction_proxy_cube_z_ge_0_84,success_state_fraction_proxy_reward_eq_1,true_terminal_fraction,timeout_fraction
control,300000,300000,0.0,0.00016333333333333334,0.00016333333041984588,0.004906666465103626
fixed,300000,300000,0.23756666666666668,0.23884333333333332,0.0,0.004999999888241291
