arm,checkpoint,mean_az_given_grasp,median_az_given_grasp,p_az_positive_given_grasp
control,best_model,-0.8646836243774161,-0.88241322977999,0.003938882690578851
fixed,best_model,-0.5868732102248416,-0.6352162076516098,0.1757242134984042
control,last_model,-0.8864325718284877,-0.933148146008646,0.0034061504826077152
fixed,last_model,-0.6786797992928431,-0.7566330308058171,0.13532298050446098
